Año;Periodo;Confianza del consumidor;
2017;Septiembre;103,17;-0,051484784
2017;Octubre;99,6;-0,034603082
2017;Noviembre;100,45;0,008534137
2017;Diciembre;102,45;0,019910403
2018;Enero;102,3;-0,001464129
2018;Febrero;99,7;-0,025415445
2018;Marzo;98,6;-0,011033099
2018;Abril;99,9;0,013184584
2018;Mayo;97,7;-0,022022022
2018;Junio;107;0,095189355
2018;Julio;106,1;-0,008411215
2018;Agosto;102,4;-0,034872762
2018;Septiembre;90,6;-0,115234375
2018;Octubre;93;0,026490066
2018;Noviembre;91,4;-0,017204301
2018;Diciembre;90,9;-0,00547046
2019;Enero;93,8;0,03190319
2019;Febrero;96,1;0,024520256
2019;Marzo;93,9;-0,02289282
2019;Abril;97;0,033013845
2019;Mayo;96,9;-0,001030928
2019;Junio;102,3;0,055727554
2019;Julio;97;-0,051808407
2019;Agosto;86;-0,113402062
2019;Septiembre;80,7;-0,061627907
2019;Octubre;73,3;-0,091697646
2019;Noviembre;77,4;0,055934516
2019;Diciembre;77,7;0,003875969
2020;Enero;87,2;0,122265122
2020;Febrero;85,7;-0,017201835
2020;Marzo;63,3;-0,261376896
2020;Abril;49,9;-0,211690363
2020;Mayo;52,9;0,06012024
2020;Junio;60,7;0,147448015
2020;Julio;53,1;-0,125205931
2020;Agosto;49,9;-0,060263653
2020;Septiembre;49,5;-0,008016032
2020;Octubre;48,5;-0,02020202
2020;Noviembre;55,7;0,148453608
2020;Diciembre;63,1;0,132854578
2021;Enero;55,7;-0,117274168
2021;Febrero;65,9;0,183123878
2021;Marzo;73;0,107738998
2021;Abril;77,8;0,065753425
2021;Mayo;89;0,143958869
2021;Junio;97,5;0,095505618
2021;Julio;91,9;-0,057435897
2021;Agosto;91,6;-0,003264418
2021;Septiembre;98,3;0,073144105
2021;Octubre;97,3;-0,01017294
2021;Noviembre;84,6;-0,130524152
2021;Diciembre;81,3;-0,039007092
2022;Enero;89,3;0,098400984
2022;Febrero;89,8;0,005599104
2022;Marzo;53,8;-0,400890869
2022;Abril;74,6;0,3866171
2022;Mayo;76;0,018766756
2022;Junio;65,8;-0,134210526
2022;Julio;55,5;-0,156534954
2022;Septiembre;55,7;0,003603604
2022;Octubre;54,7;-0,017953321
2022;Noviembre;60,5;0,106032907
2022;Diciembre;68;0,123966942
